"","entrezgene_id","model_gene","ensembl_gene_id"
"159",412,412.1,"ENSG00000101846"
"160",427,427.1,"ENSG00000104763"
"161",427,427.2,"ENSG00000104763"
"162",435,435.1,"ENSG00000126522"
"163",438,438.1,"ENSG00000196433"
"164",440,440.1,"ENSG00000070669"
"165",440,440.2,"ENSG00000070669"
"166",440,440.3,"ENSG00000070669"
"167",443,443.1,"ENSG00000108381"
"168",445,445.2,"ENSG00000130707"
"169",445,445.1,"ENSG00000130707"
"170",471,471.1,"ENSG00000138363"
"171",476,476.1,"ENSG00000163399"
"172",477,477.1,"ENSG00000018625"
"173",478,478.1,"ENSG00000105409"
"174",480,480.1,"ENSG00000132681"
"175",481,481.1,"ENSG00000143153"
"176",482,482.1,"ENSG00000129244"
"177",483,483.1,"ENSG00000069849"
"178",490,490.1,"ENSG00000070961"
"179",491,491.1,"ENSG00000157087"
"180",492,492.1,"ENSG00000067842"
"181",493,493.1,"ENSG00000058668"
"182",495,495.1,"ENSG00000105675"
"183",496,496.1,"ENSG00000186009"
"184",496,496.1,"ENSG00000288359"
"185",498,498.2,"ENSG00000152234"
"186",498,498.3,"ENSG00000152234"
"187",498,498.1,"ENSG00000152234"
"188",501,501.1,"ENSG00000164904"
"189",506,506.1,"ENSG00000110955"
"190",509,509.2,"ENSG00000165629"
"191",509,509.1,"ENSG00000165629"
"192",513,513.2,"ENSG00000099624"
"193",513,513.1,"ENSG00000099624"
"194",514,514.2,"ENSG00000124172"
"195",514,514.1,"ENSG00000124172"
"196",515,515.1,"ENSG00000116459"
"197",515,515.3,"ENSG00000116459"
"198",515,515.2,"ENSG00000116459"
"199",516,516.1,"ENSG00000159199"
"200",516,516.2,"ENSG00000159199"
"201",517,517.1,"ENSG00000135390"
"202",517,517.2,"ENSG00000135390"
"203",518,518.2,"ENSG00000154518"
"204",518,518.1,"ENSG00000154518"
"205",518,518.3,"ENSG00000154518"
"206",521,521.1,"ENSG00000169020"
"207",522,522.5,"ENSG00000154723"
"208",522,522.1,"ENSG00000154723"
"209",522,522.3,"ENSG00000154723"
"210",522,522.2,"ENSG00000154723"
"211",522,522.4,"ENSG00000154723"
"212",523,523.1,"ENSG00000114573"
"213",525,525.1,"ENSG00000116039"
"214",526,526.1,"ENSG00000147416"
"215",527,527.1,"ENSG00000185883"
"216",528,528.2,"ENSG00000155097"
"217",528,528.1,"ENSG00000155097"
"218",529,529.1,"ENSG00000131100"
"219",533,533.1,"ENSG00000117410"
"220",534,534.2,"ENSG00000230900"
"221",534,534.2,"ENSG00000227587"
"222",534,534.2,"ENSG00000206445"
"223",534,534.2,"ENSG00000213760"
"224",534,534.2,"ENSG00000234920"
"225",534,534.2,"ENSG00000226850"
"226",534,534.2,"ENSG00000234668"
"227",534,534.1,"ENSG00000230900"
"228",534,534.1,"ENSG00000227587"
"229",534,534.1,"ENSG00000206445"
"230",534,534.1,"ENSG00000213760"
"231",534,534.1,"ENSG00000234920"
"232",534,534.1,"ENSG00000226850"
"233",534,534.1,"ENSG00000234668"
"234",535,535.1,"ENSG00000033627"
"235",539,539.1,"ENSG00000241837"
"236",549,549.1,"ENSG00000148090"
"237",570,570.1,"ENSG00000276559"
